X,CH1,Start,Increment,
Sequence,Volt,-1.166000e+01,2.000000e-02
0,4.00e-02,
1,-4.00e-02,
2,-4.00e-02,
3,6.00e-02,
4,4.00e-02,
5,-4.00e-02,
6,4.00e-02,
7,-4.00e-02,
8,-4.00e-02,
9,4.00e-02,
10,-4.00e-02,
11,4.00e-02,
12,-4.00e-02,
13,4.00e-02,
14,-4.00e-02,
15,4.00e-02,
16,-4.00e-02,
17,4.00e-02,
18,-4.00e-02,
19,4.00e-02,
20,-4.00e-02,
21,4.00e-02,
22,-4.00e-02,
23,4.00e-02,
24,-4.00e-02,
25,4.00e-02,
26,4.00e-02,
27,-4.00e-02,
28,-4.00e-02,
29,4.00e-02,
30,4.00e-02,
31,-4.00e-02,
32,-4.00e-02,
33,4.00e-02,
34,-4.00e-02,
35,4.00e-02,
36,-4.00e-02,
37,8.00e-02,
38,-4.00e-02,
39,4.00e-02,
40,-4.00e-02,
41,4.00e-02,
42,-4.00e-02,
43,4.00e-02,
44,4.00e-02,
45,-4.00e-02,
46,4.00e-02,
47,-4.00e-02,
48,-4.00e-02,
49,4.00e-02,
50,-4.00e-02,
51,4.00e-02,
52,-4.00e-02,
53,4.00e-02,
54,4.00e-02,
55,-4.00e-02,
56,4.00e-02,
57,-4.00e-02,
58,-4.00e-02,
59,4.00e-02,
60,4.00e-02,
61,-4.00e-02,
62,4.00e-02,
63,-4.00e-02,
64,-4.00e-02,
65,6.00e-02,
66,4.00e-02,
67,-4.00e-02,
68,-4.00e-02,
69,4.00e-02,
70,-4.00e-02,
71,4.00e-02,
72,-4.00e-02,
73,4.00e-02,
74,-4.00e-02,
75,6.00e-02,
76,-4.00e-02,
77,4.00e-02,
78,-4.00e-02,
79,4.00e-02,
80,4.00e-02,
81,-4.00e-02,
82,-4.00e-02,
83,4.00e-02,
84,-4.00e-02,
85,4.00e-02,
86,4.00e-02,
87,-4.00e-02,
88,4.00e-02,
89,-4.00e-02,
90,-4.00e-02,
91,6.00e-02,
92,-4.00e-02,
93,4.00e-02,
94,-4.00e-02,
95,4.00e-02,
96,-4.00e-02,
97,4.00e-02,
98,4.00e-02,
99,-4.00e-02,
100,-4.00e-02,
101,4.00e-02,
102,4.00e-02,
103,-4.00e-02,
104,-4.00e-02,
105,4.00e-02,
106,-4.00e-02,
107,4.00e-02,
108,-4.00e-02,
109,4.00e-02,
110,-4.00e-02,
111,4.00e-02,
112,-4.00e-02,
113,8.00e-02,
114,-4.00e-02,
115,4.00e-02,
116,-4.00e-02,
117,4.00e-02,
118,-4.00e-02,
119,6.00e-02,
120,-4.00e-02,
121,4.00e-02,
122,-4.00e-02,
123,4.00e-02,
124,-4.00e-02,
125,4.00e-02,
126,4.00e-02,
127,-4.00e-02,
128,4.00e-02,
129,-4.00e-02,
130,-4.00e-02,
131,4.00e-02,
132,-4.00e-02,
133,4.00e-02,
134,-4.00e-02,
135,4.00e-02,
136,-4.00e-02,
137,4.00e-02,
138,-4.00e-02,
139,4.00e-02,
140,-4.00e-02,
141,4.00e-02,
142,-4.00e-02,
143,4.00e-02,
144,4.00e-02,
145,-4.00e-02,
146,4.00e-02,
147,-4.00e-02,
148,-4.00e-02,
149,4.00e-02,
150,-4.00e-02,
151,4.00e-02,
152,4.00e-02,
153,-4.00e-02,
154,-4.00e-02,
155,4.00e-02,
156,-4.00e-02,
157,4.00e-02,
158,-4.00e-02,
159,4.00e-02,
160,4.00e-02,
161,-4.00e-02,
162,4.00e-02,
163,-4.00e-02,
164,4.00e-02,
165,-4.00e-02,
166,-4.00e-02,
167,4.00e-02,
168,-4.00e-02,
169,4.00e-02,
170,4.00e-02,
171,-4.00e-02,
172,4.00e-02,
173,-4.00e-02,
174,-4.00e-02,
175,4.00e-02,
176,-4.00e-02,
177,4.00e-02,
178,-4.00e-02,
179,4.00e-02,
180,-4.00e-02,
181,4.00e-02,
182,-4.00e-02,
183,6.00e-02,
184,-4.00e-02,
185,4.00e-02,
186,-4.00e-02,
187,4.00e-02,
188,-4.00e-02,
189,4.00e-02,
190,-4.00e-02,
191,6.00e-02,
192,-4.00e-02,
193,4.00e-02,
194,-4.00e-02,
195,4.00e-02,
196,-4.00e-02,
197,4.00e-02,
198,4.00e-02,
199,-4.00e-02,
200,4.00e-02,
201,-4.00e-02,
202,-4.00e-02,
203,4.00e-02,
204,-4.00e-02,
205,4.00e-02,
206,-4.00e-02,
207,4.00e-02,
208,4.00e-02,
209,-4.00e-02,
210,-4.00e-02,
211,4.00e-02,
212,4.00e-02,
213,-4.00e-02,
214,4.00e-02,
215,-4.00e-02,
216,-4.00e-02,
217,4.00e-02,
218,4.00e-02,
219,-4.00e-02,
220,4.00e-02,
221,-4.00e-02,
222,-4.00e-02,
223,4.00e-02,
224,-4.00e-02,
225,4.00e-02,
226,4.00e-02,
227,-4.00e-02,
228,-4.00e-02,
229,4.00e-02,
230,-4.00e-02,
231,4.00e-02,
232,-4.00e-02,
233,4.00e-02,
234,-4.00e-02,
235,4.00e-02,
236,4.00e-02,
237,-4.00e-02,
238,-4.00e-02,
239,4.00e-02,
240,4.00e-02,
241,-4.00e-02,
242,-4.00e-02,
243,4.00e-02,
244,-4.00e-02,
245,4.00e-02,
246,4.00e-02,
247,-4.00e-02,
248,-4.00e-02,
249,4.00e-02,
250,4.00e-02,
251,-4.00e-02,
252,-4.00e-02,
253,4.00e-02,
254,4.00e-02,
255,-4.00e-02,
256,4.00e-02,
257,-4.00e-02,
258,-4.00e-02,
259,4.00e-02,
260,4.00e-02,
261,-4.00e-02,
262,4.00e-02,
263,-4.00e-02,
264,-4.00e-02,
265,4.00e-02,
266,-4.00e-02,
267,4.00e-02,
268,4.00e-02,
269,-4.00e-02,
270,4.00e-02,
271,-4.00e-02,
272,4.00e-02,
273,-1.20e-01,
274,-4.00e-02,
275,1.40e-01,
276,-4.00e-02,
277,4.00e-02,
278,4.00e-02,
279,-4.00e-02,
280,-4.00e-02,
281,4.00e-02,
282,4.00e-02,
283,-4.00e-02,
284,-4.00e-02,
285,4.00e-02,
286,4.00e-02,
287,-4.00e-02,
288,4.00e-02,
289,-4.00e-02,
290,-4.00e-02,
291,4.00e-02,
292,-4.00e-02,
293,4.00e-02,
294,-4.00e-02,
295,4.00e-02,
296,4.00e-02,
297,-4.00e-02,
298,-4.00e-02,
299,4.00e-02,
300,-4.00e-02,
301,6.00e-02,
302,-4.00e-02,
303,4.00e-02,
304,4.00e-02,
305,-4.00e-02,
306,-4.00e-02,
307,4.00e-02,
308,4.00e-02,
309,-4.00e-02,
310,-4.00e-02,
311,4.00e-02,
312,-4.00e-02,
313,4.00e-02,
314,-4.00e-02,
315,4.00e-02,
316,-4.00e-02,
317,4.00e-02,
318,-4.00e-02,
319,4.00e-02,
320,-4.00e-02,
321,6.00e-02,
322,4.00e-02,
323,-4.00e-02,
324,4.00e-02,
325,-4.00e-02,
326,-4.00e-02,
327,4.00e-02,
328,-4.00e-02,
329,6.00e-02,
330,-4.00e-02,
331,6.00e-02,
332,-4.00e-02,
333,4.00e-02,
334,4.00e-02,
335,-4.00e-02,
336,-4.00e-02,
337,4.00e-02,
338,4.00e-02,
339,-4.00e-02,
340,-4.00e-02,
341,6.00e-02,
342,-4.00e-02,
343,4.00e-02,
344,-4.00e-02,
345,4.00e-02,
346,-4.00e-02,
347,4.00e-02,
348,-4.00e-02,
349,4.00e-02,
350,4.00e-02,
351,-4.00e-02,
352,-4.00e-02,
353,4.00e-02,
354,-4.00e-02,
355,4.00e-02,
356,-4.00e-02,
357,4.00e-02,
358,-4.00e-02,
359,4.00e-02,
360,-4.00e-02,
361,4.00e-02,
362,-4.00e-02,
363,4.00e-02,
364,-4.00e-02,
365,4.00e-02,
366,-4.00e-02,
367,4.00e-02,
368,4.00e-02,
369,-4.00e-02,
370,-4.00e-02,
371,4.00e-02,
372,4.00e-02,
373,-4.00e-02,
374,-4.00e-02,
375,4.00e-02,
376,4.00e-02,
377,-4.00e-02,
378,-4.00e-02,
379,4.00e-02,
380,4.00e-02,
381,-4.00e-02,
382,-4.00e-02,
383,4.00e-02,
384,-4.00e-02,
385,4.00e-02,
386,-4.00e-02,
387,4.00e-02,
388,4.00e-02,
389,-4.00e-02,
390,-4.00e-02,
391,4.00e-02,
392,4.00e-02,
393,-4.00e-02,
394,-4.00e-02,
395,6.00e-02,
396,4.00e-02,
397,-4.00e-02,
398,-4.00e-02,
399,4.00e-02,
400,-4.00e-02,
401,4.00e-02,
402,-4.00e-02,
403,4.00e-02,
404,-4.00e-02,
405,4.00e-02,
406,-4.00e-02,
407,4.00e-02,
408,-4.00e-02,
409,6.00e-02,
410,-4.00e-02,
411,4.00e-02,
412,-4.00e-02,
413,4.00e-02,
414,-4.00e-02,
415,4.00e-02,
416,-4.00e-02,
417,4.00e-02,
418,-4.00e-02,
419,6.00e-02,
420,-4.00e-02,
421,4.00e-02,
422,4.00e-02,
423,-4.00e-02,
424,-4.00e-02,
425,4.00e-02,
426,-4.00e-02,
427,4.00e-02,
428,4.00e-02,
429,-4.00e-02,
430,4.00e-02,
431,-4.00e-02,
432,-4.00e-02,
433,4.00e-02,
434,4.00e-02,
435,-4.00e-02,
436,4.00e-02,
437,-4.00e-02,
438,-4.00e-02,
439,4.00e-02,
440,4.00e-02,
441,-4.00e-02,
442,-4.00e-02,
443,4.00e-02,
444,-4.00e-02,
445,4.00e-02,
446,4.00e-02,
447,-4.00e-02,
448,-4.00e-02,
449,4.00e-02,
450,4.00e-02,
451,-4.00e-02,
452,-4.00e-02,
453,4.00e-02,
454,-4.00e-02,
455,4.00e-02,
456,-4.00e-02,
457,4.00e-02,
458,-4.00e-02,
459,4.00e-02,
460,4.00e-02,
461,-4.00e-02,
462,-4.00e-02,
463,4.00e-02,
464,-4.00e-02,
465,4.00e-02,
466,-4.00e-02,
467,4.00e-02,
468,4.00e-02,
469,-4.00e-02,
470,-4.00e-02,
471,4.00e-02,
472,-4.00e-02,
473,6.00e-02,
474,-4.00e-02,
475,4.00e-02,
476,4.00e-02,
477,-4.00e-02,
478,4.00e-02,
479,-4.00e-02,
480,-4.00e-02,
481,4.00e-02,
482,-4.00e-02,
483,4.00e-02,
484,-4.00e-02,
485,6.00e-02,
486,-4.00e-02,
487,4.00e-02,
488,-4.00e-02,
489,4.00e-02,
490,-4.00e-02,
491,4.00e-02,
492,4.00e-02,
493,-4.00e-02,
494,-4.00e-02,
495,4.00e-02,
496,-4.00e-02,
497,4.00e-02,
498,-4.00e-02,
499,4.00e-02,
500,-4.00e-02,
501,4.00e-02,
502,-4.00e-02,
503,4.00e-02,
504,4.00e-02,
505,-4.00e-02,
506,4.00e-02,
507,-4.00e-02,
508,-4.00e-02,
509,4.00e-02,
510,-4.00e-02,
511,4.00e-02,
512,-4.00e-02,
513,4.00e-02,
514,-4.00e-02,
515,4.00e-02,
516,-4.00e-02,
517,4.00e-02,
518,-4.00e-02,
519,6.00e-02,
520,4.00e-02,
521,-4.00e-02,
522,-4.00e-02,
523,4.00e-02,
524,4.00e-02,
525,-4.00e-02,
526,4.00e-02,
527,-4.00e-02,
528,4.00e-02,
529,-4.00e-02,
530,4.00e-02,
531,-4.00e-02,
532,-4.00e-02,
533,4.00e-02,
534,-4.00e-02,
535,4.00e-02,
536,-4.00e-02,
537,4.00e-02,
538,-4.00e-02,
539,4.00e-02,
540,-4.00e-02,
541,4.00e-02,
542,4.00e-02,
543,-4.00e-02,
544,-4.00e-02,
545,4.00e-02,
546,-4.00e-02,
547,4.00e-02,
548,-4.00e-02,
549,4.00e-02,
550,-4.00e-02,
551,4.00e-02,
552,-4.00e-02,
553,4.00e-02,
554,-4.00e-02,
